doses_admin_daily,7_day_avg,date
0.0,0.0,2020-12-10
0.0,0.0,2020-12-11
0.0,0.0,2020-12-12
0.0,0.0,2020-12-13
0.0,0.0,2020-12-14
0.0,0.0,2020-12-15
0.0,0.0,2020-12-16
0.0,0.0,2020-12-17
0.0,0.0,2020-12-18
0.0,0.0,2020-12-19
0.0,0.0,2020-12-20
0.0,2125.8571428571427,2020-12-21
0.0,4434.142857142857,2020-12-22
0.0,5892.285714285715,2020-12-23
14881.0,6391.714285714285,2020-12-24
16158.0,6832.142857142857,2020-12-25
10207.0,8032.428571428572,2020-12-26
3496.0,10910.142857142857,2020-12-27
3083.0,11339.57142857143,2020-12-28
8402.0,10166.714285714286,2020-12-29
20144.0,8754.42857142857,2020-12-30
17887.0,8758.142857142857,2020-12-31
7948.0,8665.142857142857,2021-01-01
321.0,8867.57142857143,2021-01-02
3522.0,8040.285714285715,2021-01-03
2432.0,8288.857142857143,2021-01-04
9819.0,10121.285714285714,2021-01-05
14353.0,13419.285714285714,2021-01-06
19627.0,16256.0,2021-01-07
20775.0,21518.14285714286,2021-01-08
23407.0,23802.0,2021-01-09
23379.0,26196.0,2021-01-10
39267.0,27812.285714285714,2021-01-11
25806.0,29657.0,2021-01-12
31111.0,29241.14285714286,2021-01-13
30941.0,28773.571428571428,2021-01-14
33688.0,24525.14285714286,2021-01-15
20496.0,20838.571428571428,2021-01-16
20106.0,19334.428571428572,2021-01-17
9528.0,20459.571428571428,2021-01-18
0.0,19444.571428571428,2021-01-19
20582.0,22568.285714285714,2021-01-20
38817.0,25530.428571428572,2021-01-21
26583.0,28979.14285714286,2021-01-22
42362.0,31838.85714285714,2021-01-23
40841.0,37126.857142857145,2021-01-24
33669.0,36317.0,2021-01-25
20018.0,42069.71428571428,2021-01-26
57598.0,43937.857142857145,2021-01-27
33148.0,44982.857142857145,2021-01-28
66852.0,46690.0,2021-01-29
55439.0,46829.42857142857,2021-01-30
48156.0,59732.57142857143,2021-01-31
45619.0,55303.71428571428,2021-02-01
20994.0,54416.857142857145,2021-02-02
147920.0,54039.0,2021-02-03
2146.0,56725.57142857143,2021-02-04
60644.0,60115.42857142857,2021-02-05
52794.0,61904.71428571428,2021-02-06
66962.0,46033.57142857143,2021-02-07
69348.0,54281.0,2021-02-08
33519.0,53677.0,2021-02-09
36822.0,56761.857142857145,2021-02-10
59878.0,48534.0,2021-02-11
56416.0,59212.57142857143,2021-02-12
74388.0,54424.142857142855,2021-02-13
9367.0,50635.57142857143,2021-02-14
144098.0,58875.28571428572,2021-02-15
0.0,58330.28571428572,2021-02-16
10302.0,73730.14285714286,2021-02-17
117556.0,79081.57142857143,2021-02-18
52601.0,69214.42857142857,2021-02-19
182187.0,79821.71428571429,2021-02-20
46827.0,78350.0,2021-02-21
75028.0,67892.0,2021-02-22
74251.0,69590.42857142857,2021-02-23
0.0,53950.57142857143,2021-02-24
44350.0,63458.0,2021-02-25
64490.0,63573.71428571428,2021-02-26
72708.0,64894.142857142855,2021-02-27
113379.0,72196.0,2021-02-28
75838.0,74736.0,2021-03-01
83494.0,78068.42857142857,2021-03-02
51113.0,86723.42857142857,2021-03-03
62130.0,88970.57142857143,2021-03-04
87817.0,83392.57142857143,2021-03-05
133293.0,71464.85714285714,2021-03-06
129109.0,91116.0,2021-03-07
36792.0,98490.42857142857,2021-03-08
0.0,100106.42857142857,2021-03-09
188671.0,84201.85714285714,2021-03-10
113751.0,127499.71428571429,2021-03-11
99129.0,122243.71428571429,2021-03-12
21961.0,135408.7142857143,2021-03-13
432194.0,116652.57142857143,2021-03-14
0.0,121873.0,2021-03-15
92155.0,122077.71428571429,2021-03-16
57378.0,121981.57142857143,2021-03-17
150294.0,63736.0,2021-03-18
100562.0,64096.142857142855,2021-03-19
21288.0,66451.42857142857,2021-03-20
24475.0,115738.28571428571,2021-03-21
2521.0,114127.85714285714,2021-03-22
108642.0,104778.85714285714,2021-03-23
402386.0,129094.85714285714,2021-03-24
139021.0,147640.0,2021-03-25
35119.0,165082.7142857143,2021-03-26
191500.0,163555.57142857142,2021-03-27
154291.0,113826.14285714286,2021-03-28
124620.0,109534.57142857143,2021-03-29
97952.0,125232.85714285714,2021-03-30
54280.0,123993.28571428571,2021-03-31
108980.0,125743.71428571429,2021-04-01
145007.0,124934.14285714286,2021-04-02
182823.0,123338.14285714286,2021-04-03
166544.0,122121.42857142857,2021-04-04
118953.0,108910.57142857143,2021-04-05
86780.0,102700.42857142857,2021-04-06
45763.0,153317.42857142858,2021-04-07
16504.0,144089.42857142858,2021-04-08
101536.0,145314.42857142858,2021-04-09
537142.0,150631.7142857143,2021-04-10
101948.0,162051.0,2021-04-11
127528.0,180757.57142857142,2021-04-12
124001.0,189869.42857142858,2021-04-13
125698.0,133381.85714285713,2021-04-14
147450.0,136864.0,2021-04-15
165319.0,129189.42857142857,2021-04-16
141729.0,125651.0,2021-04-17
126323.0,133481.57142857142,2021-04-18
73806.0,131840.0,2021-04-19
99232.0,141399.2857142857,2021-04-20
180512.0,148488.57142857142,2021-04-21
135959.0,144282.2857142857,2021-04-22
232234.0,145974.42857142858,2021-04-23
191354.0,143685.85714285713,2021-04-24
96879.0,132691.7142857143,2021-04-25
85651.0,132000.7142857143,2021-04-26
83212.0,116013.85714285714,2021-04-27
103553.0,115388.71428571429,2021-04-28
131122.0,109907.57142857143,2021-04-29
120326.0,107660.71428571429,2021-04-30
186978.0,95773.28571428571,2021-05-01
58511.0,104409.28571428571,2021-05-02
69923.0,101946.71428571429,2021-05-03
0.0,100984.71428571429,2021-05-04
164005.0,91294.42857142857,2021-05-05
113884.0,93667.42857142857,2021-05-06
113592.0,91162.0,2021-05-07
119146.0,105588.57142857143,2021-05-08
75122.0,92475.42857142857,2021-05-09
52385.0,92002.14285714286,2021-05-10
100986.0,86329.0,2021-05-11
72213.0,82703.57142857143,2021-05-12
110571.0,86433.0,2021-05-13
73880.0,86750.71428571429,2021-05-14
93768.0,81395.14285714286,2021-05-15
101228.0,87205.0,2021-05-16
54609.0,83322.28571428571,2021-05-17
63497.0,87550.71428571429,2021-05-18
112882.0,87667.42857142857,2021-05-19
83392.0,81930.57142857143,2021-05-20
103479.0,80692.85714285714,2021-05-21
94585.0,77557.28571428571,2021-05-22
61070.0,71671.42857142857,2021-05-23
45945.0,71109.0,2021-05-24
41548.0,66350.57142857143,2021-05-25
71681.0,64407.71428571428,2021-05-26
79455.0,64964.0,2021-05-27
70170.0,68767.8,2021-05-28
80985.0,75572.75,2021-05-29
